# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.459        0.000       48.145       98.332
       0.462        0.000       44.453       92.195
       0.465      332.600       48.230       98.332
       0.468        0.000       48.230       98.332
       0.471        0.000       48.230       98.332
       0.474      248.600       48.781       98.332
       0.479      419.800       45.004       92.195
       0.483        0.000       46.617       98.203
       0.488        0.000       45.004       92.195
       0.493        0.000       48.801       98.332
       0.498      392.800       48.801       98.332
       0.502        0.000       45.004       92.195
       0.507      265.900       48.805       98.332
       0.510      298.000       45.004       92.195
       0.513      318.700       45.801      100.129
       0.516        0.000       45.801      100.129
       0.519      280.300       46.898       98.242
       0.523        0.000       45.289       92.234
       0.526        0.000       45.863      100.129
       0.529      363.700       46.895       98.113
       0.532        0.000       45.289       92.234
       0.534        0.000       45.855      100.129
       0.537      722.600       45.293       92.238
       0.540        0.000       49.094       98.371
       0.543        0.000       45.289       92.234
       0.545        0.000       46.176      100.129
       0.548      390.100       46.176      100.129
       0.551      375.000       47.125       98.203
       0.553        0.000       45.602       92.234
       0.556        0.000       46.426      100.129
       0.559        0.000       45.922       92.238
       0.562      371.700       49.707       98.371
       0.565        0.000       45.918       92.234
       0.567      332.600       46.426      100.129
       0.570        0.000       49.719       98.371
       0.573        0.000       45.918       92.234
       0.576        0.000       46.488      100.129
       0.579      720.200       47.523       98.242
       0.582        0.000       45.918       92.234
       0.585        0.000       47.527       98.242
       0.588      382.500       49.852       98.371
       0.590      344.500       50.340       98.371
       0.594      320.900       50.340       98.371
       0.596        0.000       50.340       98.371
       0.599        0.000       50.340      102.371
       0.602      351.100       46.406       96.234
       0.605        0.000       20.340       36.938
       0.607        0.000       16.406       30.930
       0.610        0.000       20.238       37.066
       0.613      304.500       16.406       30.930
       0.616        0.000       16.406       30.930
       0.619        0.000       20.238       37.066
       0.622        0.000       16.406       30.930
       0.625        0.000       16.406       30.930
       0.632      266.900       20.215       37.066
       0.635        0.000       16.406       30.930
       0.638        0.000       16.406       30.930
       0.641        0.000       20.191       37.066
       0.644      324.100       16.406       30.930
       0.648        0.000       16.406       30.930
       0.651      335.000       20.289       37.066
       0.654        0.000       16.406       30.930
       0.657        0.000       16.406       30.930
       0.660        0.000       20.227       37.066
       0.663        0.000       16.406       30.930
       0.666        0.000       16.406       30.930
       0.669      321.300       20.238       37.066
       0.672        0.000       16.406       30.930
       0.675      309.800       16.406       30.930
       0.678        0.000       20.238       37.066
       0.681        0.000       16.406       30.930
       0.684        0.000       16.406       30.930
       0.687      343.600       20.340       37.066
       0.690        0.000       16.406       30.930
       0.694        0.000       16.406       30.930
       0.696        0.000       20.215       37.066
       0.699      351.200       16.406       30.930
       0.702      350.000       16.406       30.930
       0.705        0.000       20.215       37.066
       0.708        0.000       16.406       30.930
       0.711        0.000       16.406       30.930
       0.714      276.800       20.113       37.066
       0.718        0.000       16.406       30.930
       0.721        0.000       16.406       30.930
       0.724      315.200       20.207       37.066
       0.727        0.000       16.406       30.930
       0.730        0.000       16.406       30.930
       0.733      633.600       16.406       30.930
       0.736        0.000       20.184       37.066
       0.739        0.000       16.406       30.930
